,hotel_name,nationality,rating,review_text,sentiment_score,sentiment
12295,B&B Salve,Germany,10.0,nice beautiful quiet house house owner warm helpful,0.886,Positive
12296,NH Brussels EU Berlaymont,Germany,7.5,dark water drain bathroom also great helpful stuff know smile course good location station close walk distance center also acceptable,0.9274,Positive
12297,Budget Flats Leuven,Poland,7.9,wardrobe small console beneath set get much space keep clothes actually big problem staff really friendly center train bus station pretty close guess around min foot nearby express great park,0.8439,Positive
12298,B&B Le Lys d'or,Czech Republic,9.0,nice everything short stay host communicative helpful really option store check,0.6808,Positive
12299,Hotel Class'eco Liège,Italy,6.3,towel please map location breakfast silence price,0.3182,Neutral
12300,Grand Hotel de Flandre,Belgium,6.0,location entrance parking initially really clear due road work town recognizable strange marginal people hang around vicinity across train station may give unpleasant feel safe although facility provide protective glass door splash water take shower stand upward bath one swim pool step bath wet floor water glass door bath try next time towel gap unfortunately vain clean clean spacious bathroom,0.2716,Neutral
12301,Hotel Midi-Zuid,France,8.0,actually pretty good best yet good place good everything,0.9442,Positive
12302,B&B Brouwhuys,United Kingdom,9.2,everything fine lovely large comfortable bed clean quiet bathroom large plenty able park outside house parking permit park quite nearby without need permit stayed one night people able use downstairs sit area relax get back tea coffee available whenever reasonably price honesty bar nice continental breakfast morning fresh bread cheese ham jam helpful pleasant u round small brewery run next door house take u walk either park small street pretty lovely old style house residential street beautifully kept comfortable,0.9911,Positive
12304,NH Brussels EU Berlaymont,United Kingdom,10.0,every single perfect staff polite helpful friendly clean great breakfast amaze worth every single penny back soon sure everyone deserve star,0.9726,Positive
12305,Pavillon du golf,Belgium,9.0,let bit cold much issue heating fully pity perfect family dog,0.3581,Neutral
12306,B&B Le Lys d'or,United Kingdom,9.6,everything great find little sign quite small walk past time b excellent lovely breakfast nice really excellent stay everything hesitate stay comfortable,0.9652,Positive
12307,Hotel Class'eco Liège,Germany,5.4,staff friendly,0.4939,Neutral
12308,Grand Hotel de Flandre,New Zealand,10.0,immediate vicinity bit sketch across train station put worried walk around corner pedestrian district fantastic staff around helpful friendly great convenient location close everything quiet peaceful super clean secure great water pressure great c dog convenient available lobby parking easy stay,0.9869,Positive
12309,Hotel Midi-Zuid,Serbia,8.0,fact exterior immediate area bad hall extremely narrow ancient even want try elevator generally real catastrophe base area negative property however fairly spacious bed bathroom everything clean every day assume one speak experience,-0.8625,Negative
12310,B&B Brouwhuys,Germany,9.2,n owner extremely friendly customer location also good walk distance downtown parking easy find,0.8516,Positive
12312,NH Brussels EU Berlaymont,Germany,9.6,thing could point unevenly distribute light breakfast buffet excellent cosy large queen size bed bathtub staff friendly helpful right middle quarter many make use lack time five away de close grand place,0.886,Positive
12313,Pavillon du golf,Belgium,8.0,nothing particular garden shower,0.0,Neutral
12314,B&B Le Lys d'or,United Kingdom,10.0,good,0.4404,Neutral
12315,Hotel Class'eco Liège,Ireland,5.8,smell communal cleanliness location,0.0,Neutral
12316,Grand Hotel de Flandre,France,4.0,room clean staff really nice understand rate book hotel recommend book night staid finally find another,0.807,Positive
12317,Hotel Midi-Zuid,United Kingdom,8.0,dodgy close train station comfortable good good heating friendly staff big market place front shower pressure amaze leave check,0.91,Positive
12318,B&B Brouwhuys,United Kingdom,9.2,super friendly go way make u feel happy delicious breakfast every morning get useful information city,0.9545,Positive
12319,NH Brussels EU Berlaymont,Belgium,9.6,breakfast good fresh lot great enjoy nice calm atmosphere,0.9485,Positive
12320,B&B Le Lys d'or,France,10.0,location perfect calm place staff nice great,0.9169,Positive
12321,Hotel Class'eco Liège,Netherlands,6.7,next highway staff friendly try speak understand right away meant self cleaning child found bit scary make noise next nearby speak pizza example usual kind saw post payed already menu say would free plus salad menu expensive whole pizza use nearby restaurant next highway therefore possible sleep window open due noise kind ventilation though warm night good budget clean next day staff morning friendly restaurant order clean close hear highway use breakfast could get hot water coffee broken,0.9607,Positive
12322,Grand Hotel de Flandre,Belgium,6.0,toilette work since nobody come fix receptionist come take look course electrician much help change since full one hole receptionist helpful bed comfortable surprisingly quiet,0.875,Positive
12323,Hotel Midi-Zuid,Indonesia,6.0,old lift long wait location close station halal food near,0.0,Neutral
12325,NH Brussels EU Berlaymont,Finland,9.2,felt bit old score harmony nice interior design see public close train stop fast easy get city center short away within walk train stop direct airport convenient also bathroom perfect condition,0.8271,Positive
12326,The Helmet Hotel,Sweden,10.0,nothing everything,0.0,Neutral
12328,Hotel Du Parc,Belgium,7.0,car parking expensive per night minute walk free parking early morning noise coastal tram window left open good location lot around short walk beach close shopping street clean handy coastal stop outside,0.7717,Positive
12329,B&B Le Lys d'or,Chile,8.8,room really clean lot style charm nice place stay pleasant station,0.8955,Positive
12330,Hotel Class'eco Liège,Albania,10.0,nice,0.4215,Neutral
12331,Grand Hotel de Flandre,Greece,5.0,nice decoration bad design expensive good location clean bedroom,0.5994,Positive
12332,Hotel Midi-Zuid,United Kingdom,8.0,great breakfast lovely staff,0.836,Positive
12334,The Helmet Hotel,France,10.0,central super nice staff especially,0.7717,Positive
12336,Hotel Du Parc,Italy,6.0,great location,0.6249,Positive
12337,Hotel Esperance,Spain,10.0,staff helpful early morning kept luggage check time u free upgrade totally equip terrace avenue gorgeous perfectly clean new complete turn great experience,0.9686,Positive
12338,B&B Le Lys d'or,Germany,10.0,location friendliness,0.4588,Neutral
12339,Hotel Class'eco Liège,Belgium,10.0,nothing everything perfect,-0.4585,Neutral
12340,Grand Hotel de Flandre,Hong Kong,9.6,poor time could reach service good good location near train station staff kind polite helpful awesome short stay,0.9201,Positive
12341,Nuits de Mer,Belgium,9.0,amaze place full apartment view wood superb owner really professional nice recommend totally,0.9252,Positive
12342,Novotel Charleroi Centre,Romania,9.0,different specific pretty long walk outside necessarily bad thing bathroom sink inside configuration modern would great large clean modern comfortable bed backup blanket fast large range friendly staff willing help request,0.9403,Positive
12343,The Helmet Hotel,Albania,10.0,period year road adjacent construction really get wrong fine location excellent reachable tram get destination every route,0.3368,Neutral
12345,Hotel Du Parc,Belgium,8.0,location,0.0,Neutral
12346,Hotel Esperance,Italy,1.0,try speak manager mail havent answer copy arrive receptionist dont take return even need check luggage restaurant security last floor book ask low floor receptionist different morning told u cheap last floor think correct write book give always last floor rude told cheap va one client feel poor person another problem rain attach photo event last problem terrible small paint boy paint outside attach another photo,-0.9231,Negative
12347,B&B Le Lys d'or,Spain,7.9,overall nice bit quirky functional nice overall nice bit quirky functional nice,0.8807,Positive
12348,Hotel Class'eco Liège,Belgium,4.0,room small toilet bathroom need improve,0.4404,Neutral
12349,Grand Hotel de Flandre,Brazil,6.3,hotel need upgrade social look old dirty,-0.4404,Neutral
12350,Nuits de Mer,Luxembourg,8.0,really property location,0.0,Neutral
12351,Novotel Charleroi Centre,Belgium,9.0,less excellent point breakfast bit standard cleanliness attention staff location super modern nice view,0.8781,Positive
12352,The Helmet Hotel,Poland,9.0,far street benefit pretty good clean well bathroom also two paper kettle tea coffee view also good th floor see window,0.9413,Positive
12354,Hotel Du Parc,Belgium,7.0,insect breakfast really good expect really like location perfect,0.8735,Positive
12355,Hotel Esperance,Germany,10.0,nice small great comfortable extremely helpful friendly personnel,0.9499,Positive
12356,B&B Le Lys d'or,Portugal,9.2,addition noise come large avenue front soap shampoo kit improve mattress good hard soft large blackout also work well downside noise due traffic large avenue front face,0.6705,Positive
12357,Hotel Class'eco Liège,Belgium,4.0,drunk,-0.34,Neutral
12358,Grand Hotel de Flandre,Belgium,10.0,truly friendly train station view location excellent cozy,0.8689,Positive
12359,Nuits de Mer,Germany,8.8,one toilet knew woke morning sound cry nice bit creaky shower pressure beautifully decorate airy white comfy nice friendly welcome host would book,0.8807,Positive
12361,Novotel Charleroi Centre,United Kingdom,8.0,go mall close town ready sleep,0.3612,Neutral
12362,The Helmet Hotel,Ireland,8.0,air con work make warm especially night time area little bit dodgy get everywhere shower warm either bed comfortable really nice view great able order transport great,0.9538,Positive
12364,Hotel Du Parc,Belgium,8.0,little bit noisy matrass bed staff friendly helpful breakfast good staff helpful little bit noisy authentic old building art good art must visite next time book hotel,0.9145,Positive
12365,Hotel Esperance,United Kingdom,10.0,everything great great original roll top bath comfortable bed quiet location highly,0.9393,Positive
12366,B&B Le Lys d'or,Netherlands,8.3,friendly host good breakfast good bed good clean bathroom,0.9274,Positive
12367,Hotel Class'eco Liège,France,8.0,bus go center city near train station,0.0,Neutral
12368,Grand Hotel de Flandre,Italy,10.0,plenty space nice furniture great position friendly professional staff coffee boiler safe smart price,0.9403,Positive
12371,LA GLORIETTE,Netherlands,8.0,ventilator,0.0,Neutral
12372,Novotel Charleroi Centre,Belgium,9.0,staff clean place quiet nice,0.6705,Positive
12373,The Helmet Hotel,United Kingdom,2.5,area situate freeze everything go outside floor soak dust everywhere stayed one night find accommodation nothing,0.0516,Neutral
12375,Hotel Du Parc,Belgium,5.8,old well need available good mattress,0.6124,Positive
12376,Hotel Esperance,Malta,6.0,lift location nice,0.4215,Neutral
12377,B&B Le Lys d'or,Israel,8.8,style place old fashion furniture really old ready breakfast one get receipt pay stay great location walk center good light breakfast tasty polite helpful could leave check take flight good place money,0.931,Positive
12378,Hotel Class'eco Liège,Luxembourg,8.3,order imagine stayed near always wake noise flush reception available clean comfortable bed sink warm water mirror bedroom convenient good value money stayed third floor wing two quiet job one night sleep good location near highway free parking great,0.9702,Positive
12379,Grand Hotel de Flandre,United Kingdom,5.8,location good hectic day tricky find parking space close area full people beg money food quite scary huge comfortable bed friendly staff,0.7992,Positive
12382,LA GLORIETTE,Belgium,10.0,clean desk two work closet bar safe bar turn remote make sound sleep nice touch bathroom big shower really nice perfect watch movie get work do view garden view really nice morning squirrel climb tree arrive ask list want breakfast really appreciate act food waste breakfast tasty plentiful clearly prepared people love food work trip alone definitely consider come back weekend partner ideal stay get away,0.984,Positive
12383,Novotel Charleroi Centre,Malaysia,7.0,poor service use covid excuse give value need pick breakfast shower gel per night service terrible suite big good comfortable,0.4019,Neutral
12384,The Helmet Hotel,Pakistan,7.9,nothing really great value money room decent size clean comfortable,0.0637,Neutral
12386,Hotel Du Parc,Switzerland,7.1,well use old style facility clean radiator efficient perfect location close beach center,0.8834,Positive
12387,Hotel Esperance,Egypt,10.0,honestly nothing friendly staff bed super comfortable location excellent,0.9056,Positive
12388,B&B Le Lys d'or,United Kingdom,10.0,everything friendly family attentive comfort great large quiet could wish pleasant stay,0.9413,Positive
12389,Hotel Class'eco Liège,United Kingdom,9.2,hard find industrial estate look sign clean great shower lovely staff,0.8807,Positive
12390,Grand Hotel de Flandre,Romania,10.0,great time location min center right next train station clean well large professional staff well,0.875,Positive
12392,NH Brussels EU Berlaymont,Italy,9.6,really convenient location commission couple walk station modern clean spacious perfect short business stay would definitely book future,0.8442,Positive
12393,Ideal Room,Netherlands,9.0,super location near municipality cozy apartment great view well cutlery friendly staff good price,0.9451,Positive
12394,Hotel Midi-Zuid,Ukraine,6.5,sound isolation position high walk railway station,-0.4019,Neutral
12395,Hotel des Postes,Poland,9.0,still probably due covid bother u soon place even well big thought breakfast service food excellent staff spoke several respectable menu bring fresh local think even homemade,0.8225,Positive
12397,LA GLORIETTE,Belgium,10.0,great breakfast dinner lot homemade locally,0.6249,Positive
12398,Novotel Charleroi Centre,France,8.0,service cleanliness,0.0,Neutral
12399,The Helmet Hotel,United Kingdom,8.0,bit worn compact stayed second time clean comfortable bed kind staff,0.802,Positive
12401,Hotel Du Parc,United Kingdom,8.0,first stayed ago location historic charm almost every year since,0.4019,Neutral
12402,Hotel Esperance,Germany,6.0,hotel really old elevator high really narrow say breakfast small cold eat breakfast jacket breakfast kind warm food ridiculous staff friendly helpful great location min walk city center free coffee check really clean,0.9595,Positive
12403,B&B Le Lys d'or,United Kingdom,7.0,bathroom bit tire shower could do bit scrub drain well breakfast tasty room eclectically decorate really quirky comfortable reasonable two people location good directly central,0.8214,Positive
12404,Hotel Class'eco Liège,France,4.2,private bathroom shower corridor clean one shower hot water one really short spray free parking acceptable breakfast,0.8207,Positive
12405,Grand Hotel de Flandre,United States,10.0,everything good location explore parking parking close staff friendly helpful clean comfortable well,0.9432,Positive
12406,NH Brussels EU Berlaymont,Netherlands,7.1,construction location cleanliness,0.0,Neutral
12407,Ideal Room,United States,8.0,location bit far center stop close really easy quickly reach anywhere city super clean apartment accommodate host make easy enjoy property stay,0.9366,Positive
12408,Hotel Midi-Zuid,Russia,7.5,check possible neighborhood bit sketchy overall smell lot like cleaning agent good price value combination min walk city center close nice program selection,0.8625,Positive
12409,Hotel des Postes,Belgium,10.0,negative point covid hotel beautiful village ideal base explore region immediately make feel welcome helpful extensive selection local owner fantastic cook tasty base local fresh seasonal forgotten either wife vegetarian vegetarian original fresh tasty breakfast extensive home make recommend everyone definitely go back,0.969,Positive
12411,LA GLORIETTE,Belgium,9.0,town car go center main road slight noise night nothing difficult handle think ever stayed clean everything spotless owner lovely welcome room good size lovely suite shower big bed comfy mattress linen breakfast include fruit home make ham various also available well preference,0.9607,Positive
12412,Novotel Charleroi Centre,Belgium,8.0,toilet paper much coffee thee multiple day stay also shampoo shower gel heating work good long time heat never nice comfy bed excellent shower comfortable,0.8209,Positive
12413,The Helmet Hotel,Germany,9.0,refill coffee boiler clean plus location place call view amaze th floor fresh buzz toilet,0.8176,Positive
12415,Hotel Du Parc,Brazil,5.8,stayed fourth floor street noise make feel like corner street noise reduction location,0.3612,Neutral
12416,Hotel Esperance,United Kingdom,4.6,book book clearly spa told rather rude lady reception spa told possibility book access spa elsewhere however need do advance opinion case false advertising shower plug hole really foul smell whole location,-0.0772,Neutral
12417,B&B Le Lys d'or,United Kingdom,4.2,kettle two two sugar draw shower dribble impossible adjust temperature something comfortable dribble either hot cold try get hot take another water heat people interested cash give damn work work work,0.5106,Positive
12418,Hotel Class'eco Liège,United Kingdom,7.9,functional place get head motorway three clean bit warm clean,0.743,Positive
12419,Grand Hotel de Flandre,Belgium,10.0,thing felt warm gangway lift price breakfast take fairly expensive remember correctly luxurious aspect come entrance reception equally modern feel well bed comfortable air condition much warm day,0.802,Positive
12420,NH Brussels EU Berlaymont,Poland,10.0,perfect close room nice well good value money,0.9169,Positive
12421,Ideal Room,Italy,10.0,super near station grocery store also restaurant host nearby want eat apartment clean well also small balcony international host helpful really nice person u well go back go stay,0.9432,Positive
12422,Hotel Midi-Zuid,Slovakia,6.3,rude staff take one week send invoice give one upon check,-0.4588,Neutral
12425,LA GLORIETTE,Belgium,6.0,bit shame flexible choose time dinner downstairs quite noisy since close reception kitchen exit also quite loud dinner presentation taste everything really nice starter desert nice modern bathroom attention big shampoo soap instead small also breakfast good access nice extra,0.8396,Positive
12426,Novotel Charleroi Centre,Romania,9.0,location great stuff also great clean everything need highly,0.8979,Positive
12427,The Helmet Hotel,Colombia,1.0,location cleaning bed bathroom best book far away reality,0.6369,Positive
12429,Hotel Du Parc,United Kingdom,8.3,parking superb location near beach modern well price good breakfast,0.8442,Positive
12430,Hotel Esperance,Italy,6.3,lift miss bathroom small main entrance need extremely narrow bit dangerous well kettle tea coffee provide hot water clean miss twice day city center close main bedroom quite new,-0.1935,Neutral
12431,B&B Le Lys d'or,United Kingdom,6.3,house young family ground floor rent ring bell get attention lady preoccupy young understandably go back felt intrude someone family try keep much possible reception entry quaint like old house hang one decide either plug heater light bathroom economy turn already bathroom house great location old charm character clean bathroom,0.9001,Positive
12432,Hotel Class'eco Liège,Germany,10.0,automatically perfect great experience location great near city personnel friendly helpful imagine view take breakfast saw vast din smell great must visit everyone close liege definitely come,0.9769,Positive
12433,Grand Hotel de Flandre,United States,9.6,could smell second hand smoke non smoking,0.4939,Neutral
12434,NH Brussels EU Berlaymont,Egypt,10.0,location business part dont recommend want enjoy maybe business man really nice clean,0.2758,Neutral
12435,Ideal Room,Germany,10.0,nothing everything,0.0,Neutral
12436,Hotel Midi-Zuid,Hungary,7.5,sleep really sensitive skin though price location good,0.4404,Neutral
12439,LA GLORIETTE,Belgium,9.6,everything good,0.4404,Neutral
12440,Novotel Charleroi Centre,United Kingdom,7.0,hot water close due covid staff friendly well functional room,0.6486,Positive
12441,The Helmet Hotel,Sweden,10.0,well breakfast every morning good lactation min walk north train station next tram station near brabant street every thing comfortable,0.8074,Positive
12443,Hotel Du Parc,United Kingdom,7.9,motion time button quite scary get lift night pitch blackness know light switch end torch phone navigate lift tendency stop ground floor several panic get work floor last day leave catch train say use state usually dark great location away sea front public transport right doorstep staff friendly helpful issue loo immediately another far spacious breakfast nice continental style buffet first sea view little balcony nice surprise,0.8097,Positive
12444,Hotel Esperance,United Kingdom,10.0,nice near good excellent continental breakfast bonus lovely old bar downstairs plenty close need even meal,0.9493,Positive
12445,B&B Le Lys d'or,Germany,9.0,nice excellent bed mattress best shower ever central location,0.8934,Positive
12446,Hotel Class'eco Liège,Sweden,2.5,hygiene literally nothing,0.0,Neutral
12447,Grand Hotel de Flandre,Taiwan,10.0,everything perfect,0.5719,Positive
12448,NH Brussels EU Berlaymont,Ireland,10.0,nice expect friendly stuff nice price,0.8316,Positive
12449,Ideal Room,United States,10.0,nothing complain,0.2755,Neutral
12450,Hotel Midi-Zuid,United Kingdom,6.3,slow close train station good night,0.4404,Neutral
12452,LA GLORIETTE,Luxembourg,10.0,next main road almost towards station city parking restaurant short distance station big modern clean huge bed quite comfortable welcome breakfast excellent perfect place stay overnight region,0.96,Positive
12453,Novotel Charleroi Centre,Netherlands,9.0,lot find underground parking one point instruction paper make contact leave parking modern new great clean quiet location right center,0.765,Positive
12454,The Helmet Hotel,Slovenia,10.0,cool friendly staff,0.6705,Positive
12456,Hotel Du Parc,Netherlands,8.3,good breakfast many,0.4404,Neutral
12457,Hotel Esperance,United States,10.0,great location helpful staff room bath clean comfortable could issue staff willing help,0.9393,Positive
12458,B&B Le Lys d'or,Netherlands,10.0,lovely lovely house run considerate kind host excellent location close next also one quarter good value money,0.9716,Positive
12459,Hotel Class'eco Liège,United Kingdom,3.8,way establishment list hotel basic worker hostel level use solely single male many would appear feel comfortable sleep establishment promptly left seek alternative rest stop nothing like,-0.0026,Neutral
12460,Grand Hotel de Flandre,United Kingdom,10.0,great location pleasant staff spotlessly clean comfortable,0.9246,Positive
12461,NH Brussels EU Berlaymont,United Kingdom,7.5,shower drain properly must block pump work nearly flood bathroom super speedy shower rinse properly nice also bar undergo refurbishment tap little stock generally breakfast excellent definitely worth like appreciate decent breakfast room nice bed comfortable staff nice general cleanliness good,0.9801,Positive
12462,Ideal Room,Czech Republic,9.6,comfortable good kitchen cook clean bathroom also host really kind friendly,0.9439,Positive
12463,Hotel Midi-Zuid,United Kingdom,7.9,small lift noisy night loud music people yell club next door near midnight next day convenience within walk distance comfortable stay overall helpful staff small cloak area park luggage check,0.6597,Positive
12466,Novotel Charleroi Centre,Belgium,9.0,due corona virus enjoy normal breakfast case acceptable spot town perfect,0.8481,Positive
12467,The Helmet Hotel,Spain,8.3,work last day stayed st work good lobby lobby small sometimes midnight bit difficult fall asleep people yell street near tram also get center city near walk near complicate zone warmer work good get sight,0.6908,Positive
12469,Hotel Du Parc,Belgium,7.1,bit need renovation breakfast average great location wonderful art clean,0.8885,Positive
12470,Hotel Esperance,Romania,6.3,th floor lack elevator problem girl reception desk nice helpful advice please double check book try trick make pay less well situate close city center good breakfast,0.719,Positive
12472,Hotel Class'eco Liège,Belgium,8.3,,0.0,Neutral
12473,Grand Hotel de Flandre,United Kingdom,9.6,nothing good opposite railway station clean central,0.0757,Neutral
12474,NH Brussels EU Berlaymont,Germany,8.8,cosy lounge restaurant within miss good location within city good breakfast great restaurant recommendation front office desk clean large enough,0.9001,Positive
12475,Ideal Room,United Kingdom,9.0,bed little small u big chap big,0.0,Neutral
12476,Hotel Midi-Zuid,United Kingdom,5.8,room old fashion location good need next railway station low price,0.2023,Neutral
12479,Novotel Charleroi Centre,Belgium,9.0,smack center low part recent close station big shopping mall entrance outside mall take elevator get reception nice comfy,0.1779,Neutral
12480,The Helmet Hotel,Lithuania,8.0,cold clean small room,0.4019,Neutral
12482,Hotel Du Parc,United Kingdom,7.9,see disappointed give budget wall double bed comfy take rearrange furniture avoid trip night air fade grandeur fade location excellent concert casino double front nice could see cleaner left door open,0.743,Positive
12483,Hotel Esperance,United States,10.0,staff kind helpful room clean,0.836,Positive
12485,Hotel Class'eco Liège,Ireland,3.3,terrible wash hand towel dry shower bath towel told hand towel available nothing,0.5106,Positive
12486,Grand Hotel de Flandre,Mexico,9.6,everything nice location fantastic general old nice clean,0.8979,Positive
12487,NH Brussels EU Berlaymont,Indonesia,10.0,comfort spacious location easy access,0.6597,Positive
12488,Ideal Room,Chile,10.0,apartment clean lot space comfortable next restaurant landlord always available u anything plus really close subway safe,0.8467,Positive
12489,Hotel Midi-Zuid,United Arab Emirates,7.5,lift need serious replacement bathroom spacious,-0.0772,Neutral
12491,Novotel Charleroi Centre,Spain,9.0,bedroom wall nice staff everyone helpful limited food covid gym close nice comfortable,0.8689,Positive
12492,The Helmet Hotel,Philippines,8.0,bit far bus station staff accommodate tram nearby lot around area,0.0,Neutral
12494,Hotel Du Parc,Ireland,6.7,room dark like cell shower tiny toilet separate window onto service shaft could see sky far sell bedroom book night normal also lift order one day five location,0.3612,Neutral
12495,Hotel Esperance,Croatia,10.0,staff need change one usage location excellent hotel great neighborhood opinion saint square comfortable bed lovely bar reception ground floor art style,0.9423,Positive
12497,Hotel Class'eco Liège,Belgium,3.8,dirt brothel noise nothing,-0.34,Neutral
12498,Grand Hotel de Flandre,France,6.3,reception bit dirty hotel right front train station well isolated noise clean,-0.1027,Neutral
12499,NH Brussels EU Berlaymont,Belgium,8.5,sometimes quite noise rest little say clean location price excellent,0.7287,Positive
12500,Ideal Room,Greece,8.0,window look direct road best cost value rate outside station supermarket opposite road moreover restaurant near,0.765,Positive
12501,Hotel Midi-Zuid,Pakistan,5.8,location good want stay station,0.4939,Neutral
12503,Novotel Charleroi Centre,France,9.0,slow day room,0.0,Neutral
12504,The Helmet Hotel,Switzerland,1.0,shower head broken hand shower holder extremely dirty bed full dust bed full dust phone stand longer check time bed work electricity work one bed side disgust pillow toilet product smell terrible parking place nothing,-0.8777,Negative
12506,Hotel Du Parc,Luxembourg,8.3,small shower curtain around even small person move around st floor access balcony may feel comfortable leave balcony open even heat never know may access balcony reception quite rare coast away casino beach public parking available right next,0.4767,Neutral
12507,Hotel Esperance,United Kingdom,5.4,hotel renovation actually close make aware book breakfast bar floor bar breakfast available make aware breakfast told abruptly breakfast available television work told building work noisy work renovation go night unusual whoever shower visible bad partner really suitable daughter walk around even disconcert give number sleep street grand place beg hope sympathetically would good know state time visit take place fault hotel book know hotel say told book would message book assistant nearby parking close safe reasonably situate,0.6249,Positive
12509,Hotel Class'eco Liège,Mexico,4.2,clean shower much,0.4019,Neutral
12510,Grand Hotel de Flandre,United Kingdom,10.0,coffee please visit hotel need say,0.3182,Neutral
12511,NH Brussels EU Berlaymont,United Kingdom,10.0,fantastic helpful staff bed location great mind walk city half hour walk fault anything fantastic stay,0.9081,Positive
12512,Ideal Room,Czech Republic,10.0,nice apartment perfect location next station friendly owner thank,0.9042,Positive
12513,Hotel Midi-Zuid,United Kingdom,7.5,area best proximity good say matter taste,0.802,Positive
12515,Novotel Charleroi Centre,United Kingdom,7.0,child bed make coffee hair conditioner lot carpet comfy bed modern large bar area staff pleasant,0.5106,Positive
12516,The Helmet Hotel,Russia,3.8,room clean cold inside condition work great location foot city center,0.7783,Positive
12518,Hotel Du Parc,Germany,6.7,old loud near beach,0.0,Neutral
12519,Hotel Esperance,United Kingdom,6.3,hot impossible comfortable listing mislead sauna gym tavern also run acceptable pay per night best thing bath bed nice bad comfortable staff helpful friendly,0.9517,Positive
12521,Hotel Class'eco Liège,France,2.5,outside bedroom nothing,0.0,Neutral
12522,Grand Hotel de Flandre,France,10.0,good sound proof hot comfortable clean bathroom great breakfast good choice member staff nearly add bonus great beer bar road,0.9735,Positive
12523,NH Brussels EU Berlaymont,Romania,8.3,old dusty smell even clean probably old furniture carpet think window problem could hear car noise street even quiet area think work properly heat set maximum warm enough location great close could see window station,0.7184,Positive
12524,Ideal Room,Brazil,10.0,host kind attentive available easy reach anything apartment everything need short even longer stay walk take city,0.7506,Positive
12525,Hotel Midi-Zuid,United Kingdom,7.9,bad insulation lot noise busy street,-0.5423,Negative
12527,Novotel Charleroi Centre,United Kingdom,9.6,excellent location right city clean large quiet friendly staff,0.8625,Positive
12528,The Helmet Hotel,Germany,2.0,real heater air,0.0,Neutral
12530,Hotel Du Parc,Netherlands,5.8,give different image hygienic price go worth price,0.2263,Neutral
12531,Hotel Esperance,Hungary,6.3,terrible toilet brush breakfast phenomenal,-0.4767,Neutral
12533,Hotel Class'eco Liège,Norway,3.3,receive different also lot dirty dirty dirty nightmare place sleep nothing,-0.8271,Negative
12534,Grand Hotel de Flandre,United Kingdom,9.6,think anything like staff welcome helpful comfortable quiet kettle tea coffee provide,0.891,Positive
12535,NH Brussels EU Berlaymont,Luxembourg,10.0,shower bit tricky make stop water great brilliant design super comfortable bed good service helpful staff everything really really good actually partner positively quality stay much,0.9758,Positive
12536,Ideal Room,India,10.0,host proximity transport,0.0,Neutral
12537,Hotel Midi-Zuid,United Kingdom,6.3,light inside natural light either,0.3612,Neutral
12539,Novotel Charleroi Centre,Spain,9.0,great location close station right next door cinema original version variety friendly staff great comfortable stay excellent option fly frequent shuttle bus station airport,0.967,Positive
12540,The Helmet Hotel,United Arab Emirates,3.3,dirty wash basin work ask repair wait till morning never fix till check,-0.4404,Neutral
12542,Hotel Du Parc,United Kingdom,7.1,room well friendly relaxed central location,0.8176,Positive
12543,Hotel Esperance,United Kingdom,5.4,hot fan staff lovely,0.7269,Positive
12545,Hotel Class'eco Liège,United Kingdom,8.3,toast breakfast,0.0,Neutral
12546,Grand Hotel de Flandre,Belgium,9.6,comfortable clean room,0.7184,Positive
12547,NH Brussels EU Berlaymont,United States,8.8,location somewhat remove major clean new right next commission building close,0.3477,Neutral
12548,Ideal Room,Germany,10.0,comfy would expect feel home immediately owner sweet nice everybody awesome food also restaurant everybody look feel home,0.872,Positive
12549,Hotel Midi-Zuid,Colombia,6.3,humble fine although cleaner staff charismatic helpful,0.6486,Positive
12551,Novotel Charleroi Centre,United Kingdom,8.0,breakfast comprehensive continental close time customer friendly rude shock come morning find breakfast area think disservice give opportunity enjoy rightly nice comfy friendly staff,0.891,Positive
12552,The Helmet Hotel,Bosnia and Herzegovina,3.0,clean bad staff,-0.2023,Neutral
12554,Hotel Du Parc,Malaysia,5.8,reception location,0.0,Neutral
12555,Hotel Esperance,Germany,4.6,air conditioner call three star think even star much place never go nothing good hotel,0.2594,Neutral
12556,Grand Hotel de Flandre,Spain,4.2,old bad smell expensive quality near train station,-0.5423,Negative
12557,NH Brussels EU Berlaymont,United Kingdom,10.0,nothing quiet nice,-0.3252,Neutral
12558,Ideal Room,Romania,9.6,distance city center clean big room,0.4019,Neutral
12559,Hotel Midi-Zuid,Romania,4.0,like list book bathroom staff nice,0.6486,Positive
12561,Novotel Charleroi Centre,Italy,9.0,nice clean silent comfortably easily access shuttle service airport station,0.8658,Positive
12562,The Helmet Hotel,Brazil,7.9,good weak signal clean good location near tram near gare station,0.6808,Positive
12564,Hotel Du Parc,Luxembourg,7.1,location kindness,0.4588,Neutral
12565,Hotel Esperance,United Kingdom,10.0,nothing bad say nice staff great location nice,0.5083,Positive
12566,NH Brussels EU Berlaymont,Romania,10.0,premium,0.0,Neutral
12567,Ideal Room,Czech Republic,9.6,friendly forthcoming host,0.4939,Neutral
12568,Hotel Midi-Zuid,Italy,9.0,think need receptionist gentle helpful great guy,0.8689,Positive
12570,Novotel Charleroi Centre,Israel,8.3,paint bad shape location great,0.1531,Neutral
